Event	ID	Name			Wwise Object Path	Notes
	2458421299	Play_Ellen_Footstep			\Default Work Unit\00_30_Ellen_Loco\Play_Ellen_Footstep	

Switch Group	ID	Name			Wwise Object Path	Notes
	496641439	Loco_Switch			\Default Work Unit\Loco_Switch\Loco_Switch	
	3194777289	Material_Switch			\Default Work Unit\Material\Material_Switch	

Switch	ID	Name	Switch Group			Notes
	712161704	Run	Loco_Switch			
	1164125444	Forward	Loco_Switch			
	1874288895	Idle	Loco_Switch			
	2026920480	Roll	Loco_Switch			
	3833651337	Jump	Loco_Switch			
	1216965916	Stone	Material_Switch			
	2003927601	Puddle	Material_Switch			
	2473969246	Metal	Material_Switch			
	4248645337	Grass	Material_Switch			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	1213435	Ellen_FT_Stone_Run_012	D:\Documents\GitHub\TP_Unity_3DGameKit_ADM_RH\TP_Unity_3DGameKit_ADM_RH_WwiseProject\.cache\Windows\SFX\Ellen_FT_Stone_Run_012_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\00_30_Ellen_Loco\Ellen_Loco_Mixer\Ellen_Footstep\Stone_Switch\Stone_Run_RC\Ellen_FT_Stone_Run_012		31102
	1916022	Ellen_FT_Puddle_Jump_01	D:\Documents\GitHub\TP_Unity_3DGameKit_ADM_RH\TP_Unity_3DGameKit_ADM_RH_WwiseProject\.cache\Windows\SFX\Ellen_FT_Puddle_Jump_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\00_30_Ellen_Loco\Ellen_Loco_Mixer\Ellen_Footstep\Puddle_Switch\Puddle_Jump_RC\Ellen_FT_Puddle_Jump_01		83846
	20928875	Ellen_FT_Grass_Run_012	D:\Documents\GitHub\TP_Unity_3DGameKit_ADM_RH\TP_Unity_3DGameKit_ADM_RH_WwiseProject\.cache\Windows\SFX\Ellen_FT_Grass_Run_012_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\00_30_Ellen_Loco\Ellen_Loco_Mixer\Ellen_Footstep\Grass_Switch\Grass_Run_RC\Ellen_FT_Grass_Run_012		27802
	26860005	Ellen_FT_Metal_Jump	D:\Documents\GitHub\TP_Unity_3DGameKit_ADM_RH\TP_Unity_3DGameKit_ADM_RH_WwiseProject\.cache\Windows\SFX\Ellen_FT_Metal_Jump_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\00_30_Ellen_Loco\Ellen_Loco_Mixer\Ellen_Footstep\Metal_Switch\Ellen_FT_Metal_Jump		37546
	35785912	Ellen_FT_Stone_Run_010	D:\Documents\GitHub\TP_Unity_3DGameKit_ADM_RH\TP_Unity_3DGameKit_ADM_RH_WwiseProject\.cache\Windows\SFX\Ellen_FT_Stone_Run_010_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\00_30_Ellen_Loco\Ellen_Loco_Mixer\Ellen_Footstep\Stone_Switch\Stone_Run_RC\Ellen_FT_Stone_Run_010		25958
	45694812	Ellen_FT_Puddle_Jump_02	D:\Documents\GitHub\TP_Unity_3DGameKit_ADM_RH\TP_Unity_3DGameKit_ADM_RH_WwiseProject\.cache\Windows\SFX\Ellen_FT_Puddle_Jump_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\00_30_Ellen_Loco\Ellen_Loco_Mixer\Ellen_Footstep\Puddle_Switch\Puddle_Jump_RC\Ellen_FT_Puddle_Jump_02		82346
	96426650	Ellen_FT_Stone_Run_03	D:\Documents\GitHub\TP_Unity_3DGameKit_ADM_RH\TP_Unity_3DGameKit_ADM_RH_WwiseProject\.cache\Windows\SFX\Ellen_FT_Stone_Run_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\00_30_Ellen_Loco\Ellen_Loco_Mixer\Ellen_Footstep\Stone_Switch\Stone_Run_RC\Ellen_FT_Stone_Run_03		25288
	96450636	Ellen_FT_Stone_Land_Forward_01	D:\Documents\GitHub\TP_Unity_3DGameKit_ADM_RH\TP_Unity_3DGameKit_ADM_RH_WwiseProject\.cache\Windows\SFX\Ellen_FT_Stone_Land_Forward_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\00_30_Ellen_Loco\Ellen_Loco_Mixer\Ellen_Footstep\Stone_Switch\Stone_Land_Forward_RC\Ellen_FT_Stone_Land_Forward_01		70796
	176378397	Ellen_FT_Grass_Land_Forward_01	D:\Documents\GitHub\TP_Unity_3DGameKit_ADM_RH\TP_Unity_3DGameKit_ADM_RH_WwiseProject\.cache\Windows\SFX\Ellen_FT_Grass_Land_Forward_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\00_30_Ellen_Loco\Ellen_Loco_Mixer\Ellen_Footstep\Grass_Switch\Grass_Land_Forward_RC\Ellen_FT_Grass_Land_Forward_01		82796
	190560794	Ellen_FT_Grass_Land_Forward_Roll_02	D:\Documents\GitHub\TP_Unity_3DGameKit_ADM_RH\TP_Unity_3DGameKit_ADM_RH_WwiseProject\.cache\Windows\SFX\Ellen_FT_Grass_Land_Forward_Roll_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\00_30_Ellen_Loco\Ellen_Loco_Mixer\Ellen_Footstep\Grass_Switch\Grass_Land_Forward_Roll_RC\Ellen_FT_Grass_Land_Forward_Roll_02		95046
